,Unnamed: 0,filename,label
2133,2133,train-cgm-30.jpg,cgm
1509,1509,train-cbsd-639.jpg,cbsd
3659,3659,train-cmd-1878.jpg,cmd
809,809,train-cbsd-1306.jpg,cbsd
3024,3024,train-cmd-1305.jpg,cmd
1662,1662,train-cbsd-777.jpg,cbsd
3163,3163,train-cmd-1430.jpg,cmd
1075,1075,train-cbsd-248.jpg,cbsd
308,308,train-cbb-376.jpg,cbb
742,742,train-cbsd-1246.jpg,cbsd
5565,5565,train-healthy-300.jpg,healthy
5439,5439,train-healthy-188.jpg,healthy
3478,3478,train-cmd-1714.jpg,cmd
1873,1873,train-cbsd-967.jpg,cbsd
5648,5648,train-healthy-92.jpg,healthy
2662,2662,train-cgm-81.jpg,cgm
263,263,train-cbb-335.jpg,cbb
1158,1158,train-cbsd-322.jpg,cbsd
4805,4805,train-cmd-517.jpg,cmd
2412,2412,train-cgm-551.jpg,cgm
1163,1163,train-cbsd-327.jpg,cbsd
4979,4979,train-cmd-674.jpg,cmd
233,233,train-cbb-308.jpg,cbb
2302,2302,train-cgm-452.jpg,cgm
4444,4444,train-cmd-2584.jpg,cmd
3537,3537,train-cmd-1768.jpg,cmd
4527,4527,train-cmd-267.jpg,cmd
5337,5337,train-cmd-997.jpg,cmd
4460,4460,train-cmd-2599.jpg,cmd
4928,4928,train-cmd-628.jpg,cmd
4400,4400,train-cmd-2544.jpg,cmd
3407,3407,train-cmd-1650.jpg,cmd
1807,1807,train-cbsd-907.jpg,cbsd
3362,3362,train-cmd-161.jpg,cmd
44,44,train-cbb-138.jpg,cbb
5584,5584,train-healthy-34.jpg,healthy
746,746,train-cbsd-125.jpg,cbsd
829,829,train-cbsd-1324.jpg,cbsd
5115,5115,train-cmd-797.jpg,cmd
438,438,train-cbb-74.jpg,cbb
1729,1729,train-cbsd-837.jpg,cbsd
1261,1261,train-cbsd-415.jpg,cbsd
1209,1209,train-cbsd-369.jpg,cbsd
3834,3834,train-cmd-2034.jpg,cmd
5292,5292,train-cmd-956.jpg,cmd
4210,4210,train-cmd-2373.jpg,cmd
4092,4092,train-cmd-2267.jpg,cmd
2181,2181,train-cgm-343.jpg,cgm
149,149,train-cbb-232.jpg,cbb
810,810,train-cbsd-1307.jpg,cbsd
4683,4683,train-cmd-407.jpg,cmd
586,586,train-cbsd-1105.jpg,cbsd
5302,5302,train-cmd-965.jpg,cmd
437,437,train-cbb-73.jpg,cbb
1820,1820,train-cbsd-919.jpg,cbsd
907,907,train-cbsd-1395.jpg,cbsd
1345,1345,train-cbsd-491.jpg,cbsd
5370,5370,train-healthy-125.jpg,healthy
5023,5023,train-cmd-713.jpg,cmd
12,12,train-cbb-109.jpg,cbb
93,93,train-cbb-182.jpg,cbb
4112,4112,train-cmd-2285.jpg,cmd
183,183,train-cbb-263.jpg,cbb
4945,4945,train-cmd-643.jpg,cmd
642,642,train-cbsd-1156.jpg,cbsd
4977,4977,train-cmd-672.jpg,cmd
221,221,train-cbb-298.jpg,cbb
1235,1235,train-cbsd-392.jpg,cbsd
3933,3933,train-cmd-2123.jpg,cmd
3126,3126,train-cmd-1398.jpg,cmd
5623,5623,train-healthy-7.jpg,healthy
3106,3106,train-cmd-138.jpg,cmd
5363,5363,train-healthy-119.jpg,healthy
4260,4260,train-cmd-2418.jpg,cmd
1561,1561,train-cbsd-686.jpg,cbsd
1755,1755,train-cbsd-860.jpg,cbsd
4316,4316,train-cmd-2469.jpg,cmd
5155,5155,train-cmd-832.jpg,cmd
3033,3033,train-cmd-1313.jpg,cmd
653,653,train-cbsd-1166.jpg,cbsd
429,429,train-cbb-66.jpg,cbb
1647,1647,train-cbsd-763.jpg,cbsd
2275,2275,train-cgm-428.jpg,cgm
2592,2592,train-cgm-713.jpg,cgm
5616,5616,train-healthy-63.jpg,healthy
3132,3132,train-cmd-1402.jpg,cmd
3169,3169,train-cmd-1436.jpg,cmd
654,654,train-cbsd-1167.jpg,cbsd
1292,1292,train-cbsd-443.jpg,cbsd
259,259,train-cbb-331.jpg,cbb
838,838,train-cbsd-1332.jpg,cbsd
63,63,train-cbb-155.jpg,cbb
2516,2516,train-cgm-645.jpg,cgm
3889,3889,train-cmd-2084.jpg,cmd
1468,1468,train-cbsd-601.jpg,cbsd
5320,5320,train-cmd-981.jpg,cmd
181,181,train-cbb-261.jpg,cbb
856,856,train-cbsd-1349.jpg,cbsd
5414,5414,train-healthy-165.jpg,healthy
5477,5477,train-healthy-221.jpg,healthy
3463,3463,train-cmd-1700.jpg,cmd
2554,2554,train-cgm-68.jpg,cgm
4672,4672,train-cmd-398.jpg,cmd
2846,2846,train-cmd-1145.jpg,cmd
5340,5340,train-healthy-0.jpg,healthy
4043,4043,train-cmd-2222.jpg,cmd
1407,1407,train-cbsd-547.jpg,cbsd
1872,1872,train-cbsd-966.jpg,cbsd
721,721,train-cbsd-1227.jpg,cbsd
693,693,train-cbsd-1201.jpg,cbsd
1412,1412,train-cbsd-551.jpg,cbsd
5310,5310,train-cmd-972.jpg,cmd
3994,3994,train-cmd-2179.jpg,cmd
1740,1740,train-cbsd-847.jpg,cbsd
3542,3542,train-cmd-1772.jpg,cmd
287,287,train-cbb-357.jpg,cbb
4099,4099,train-cmd-2273.jpg,cmd
3954,3954,train-cmd-2142.jpg,cmd
4512,4512,train-cmd-2645.jpg,cmd
3539,3539,train-cmd-177.jpg,cmd
2760,2760,train-cmd-1068.jpg,cmd
3235,3235,train-cmd-1496.jpg,cmd
2099,2099,train-cgm-27.jpg,cgm
1219,1219,train-cbsd-378.jpg,cbsd
4081,4081,train-cmd-2257.jpg,cmd
561,561,train-cbsd-1083.jpg,cbsd
3071,3071,train-cmd-1348.jpg,cmd
3489,3489,train-cmd-1724.jpg,cmd
1652,1652,train-cbsd-768.jpg,cbsd
3792,3792,train-cmd-1998.jpg,cmd
3064,3064,train-cmd-1341.jpg,cmd
5329,5329,train-cmd-99.jpg,cmd
1319,1319,train-cbsd-468.jpg,cbsd
2647,2647,train-cgm-763.jpg,cgm
3270,3270,train-cmd-1527.jpg,cmd
1599,1599,train-cbsd-72.jpg,cbsd
4456,4456,train-cmd-2595.jpg,cmd
5588,5588,train-healthy-38.jpg,healthy
4807,4807,train-cmd-519.jpg,cmd
210,210,train-cbb-288.jpg,cbb
47,47,train-cbb-140.jpg,cbb
3862,3862,train-cmd-206.jpg,cmd
2059,2059,train-cgm-233.jpg,cgm
4338,4338,train-cmd-2489.jpg,cmd
3765,3765,train-cmd-1973.jpg,cmd
4684,4684,train-cmd-408.jpg,cmd
